2025-07-07 12:47:51,161 - INFO - Iniciando análise do arquivo: script.lens
2025-07-07 12:47:51,161 - INFO - Código carregado com sucesso.
2025-07-07 12:47:51,200 - INFO - Tokens analisados com sucesso. Imprimindo tokens:
2025-07-07 12:47:51,201 - INFO - Token: <START, @start, Linha 1, Coluna 0>
2025-07-07 12:47:51,202 - INFO - Token: <LET, let, Linha 11, Coluna 4>
2025-07-07 12:47:51,202 - INFO - Token: <VAR, idade, Linha 11, Coluna 8>
2025-07-07 12:47:51,202 - INFO - Token: <POINT2, :, Linha 11, Coluna 13>
2025-07-07 12:47:51,202 - INFO - Token: <INT_TYPE, int, Linha 11, Coluna 15>
2025-07-07 12:47:51,202 - INFO - Token: <EQUALS, =, Linha 11, Coluna 19>
2025-07-07 12:47:51,203 - INFO - Token: <INT, 25, Linha 11, Coluna 21>
2025-07-07 12:47:51,203 - INFO - Token: <LET, let, Linha 12, Coluna 4>
2025-07-07 12:47:51,203 - INFO - Token: <VAR, altura, Linha 12, Coluna 8>
2025-07-07 12:47:51,203 - INFO - Token: <POINT2, :, Linha 12, Coluna 14>
2025-07-07 12:47:51,203 - INFO - Token: <INT_TYPE, int, Linha 12, Coluna 16>
2025-07-07 12:47:51,203 - INFO - Token: <EQUALS, =, Linha 12, Coluna 20>
2025-07-07 12:47:51,204 - INFO - Token: <INT, 175, Linha 12, Coluna 22>
2025-07-07 12:47:51,204 - INFO - Token: <LET, let, Linha 13, Coluna 4>
2025-07-07 12:47:51,204 - INFO - Token: <VAR, nome, Linha 13, Coluna 8>
2025-07-07 12:47:51,204 - INFO - Token: <POINT2, :, Linha 13, Coluna 12>
2025-07-07 12:47:51,204 - INFO - Token: <STRING_TYPE, String, Linha 13, Coluna 14>
2025-07-07 12:47:51,205 - INFO - Token: <EQUALS, =, Linha 13, Coluna 21>
2025-07-07 12:47:51,205 - INFO - Token: <STRING, "João Silva", Linha 13, Coluna 23>
2025-07-07 12:47:51,205 - INFO - Token: <LET, let, Linha 16, Coluna 4>
2025-07-07 12:47:51,205 - INFO - Token: <VAR, contador, Linha 16, Coluna 8>
2025-07-07 12:47:51,205 - INFO - Token: <POINT2, :, Linha 16, Coluna 16>
2025-07-07 12:47:51,206 - INFO - Token: <INT_TYPE, int, Linha 16, Coluna 18>
2025-07-07 12:47:51,206 - INFO - Token: <LET, let, Linha 17, Coluna 4>
2025-07-07 12:47:51,206 - INFO - Token: <VAR, peso, Linha 17, Coluna 8>
2025-07-07 12:47:51,206 - INFO - Token: <POINT2, :, Linha 17, Coluna 12>
2025-07-07 12:47:51,207 - INFO - Token: <INT_TYPE, int, Linha 17, Coluna 14>
2025-07-07 12:47:51,207 - INFO - Token: <LET, let, Linha 18, Coluna 4>
2025-07-07 12:47:51,207 - INFO - Token: <VAR, sobrenome, Linha 18, Coluna 8>
2025-07-07 12:47:51,207 - INFO - Token: <POINT2, :, Linha 18, Coluna 17>
2025-07-07 12:47:51,207 - INFO - Token: <STRING_TYPE, String, Linha 18, Coluna 19>
2025-07-07 12:47:51,207 - INFO - Token: <VAR, contador, Linha 25, Coluna 4>
2025-07-07 12:47:51,208 - INFO - Token: <EQUALS, =, Linha 25, Coluna 13>
2025-07-07 12:47:51,208 - INFO - Token: <INT, 0, Linha 25, Coluna 15>
2025-07-07 12:47:51,208 - INFO - Token: <VAR, peso, Linha 26, Coluna 4>
2025-07-07 12:47:51,208 - INFO - Token: <EQUALS, =, Linha 26, Coluna 9>
2025-07-07 12:47:51,209 - INFO - Token: <INT, 70, Linha 26, Coluna 11>
2025-07-07 12:47:51,209 - INFO - Token: <VAR, sobrenome, Linha 27, Coluna 4>
2025-07-07 12:47:51,209 - INFO - Token: <EQUALS, =, Linha 27, Coluna 14>
2025-07-07 12:47:51,209 - INFO - Token: <STRING, "Santos", Linha 27, Coluna 16>
2025-07-07 12:47:51,209 - INFO - Token: <VAR, idade, Linha 30, Coluna 4>
