START ('@start') [Linha 1, Coluna 0]
LET ('let') [Linha 11, Coluna 4]
VAR ('idade') [Linha 11, Coluna 8]
POINT2 (':') [Linha 11, Coluna 13]
INT_TYPE ('int') [Linha 11, Coluna 15]
EQUALS ('=') [Linha 11, Coluna 19]
INT ('25') [Linha 11, Coluna 21]
LET ('let') [Linha 12, Coluna 4]
VAR ('altura') [Linha 12, Coluna 8]
POINT2 (':') [Linha 12, Coluna 14]
INT_TYPE ('int') [Linha 12, Coluna 16]
EQUALS ('=') [Linha 12, Coluna 20]
INT ('175') [Linha 12, Coluna 22]
LET ('let') [Linha 13, Coluna 4]
VAR ('nome') [Linha 13, Coluna 8]
POINT2 (':') [Linha 13, Coluna 12]
STRING_TYPE ('String') [Linha 13, Coluna 14]
EQUALS ('=') [Linha 13, Coluna 21]
STRING ('"João Silva"') [Linha 13, Coluna 23]
LET ('let') [Linha 16, Coluna 4]
VAR ('contador') [Linha 16, Coluna 8]
POINT2 (':') [Linha 16, Coluna 16]
INT_TYPE ('int') [Linha 16, Coluna 18]
LET ('let') [Linha 17, Coluna 4]
VAR ('peso') [Linha 17, Coluna 8]
POINT2 (':') [Linha 17, Coluna 12]
INT_TYPE ('int') [Linha 17, Coluna 14]
LET ('let') [Linha 18, Coluna 4]
VAR ('sobrenome') [Linha 18, Coluna 8]
POINT2 (':') [Linha 18, Coluna 17]
STRING_TYPE ('String') [Linha 18, Coluna 19]
VAR ('contador') [Linha 25, Coluna 4]
EQUALS ('=') [Linha 25, Coluna 13]
INT ('0') [Linha 25, Coluna 15]
VAR ('peso') [Linha 26, Coluna 4]
EQUALS ('=') [Linha 26, Coluna 9]
INT ('70') [Linha 26, Coluna 11]
VAR ('sobrenome') [Linha 27, Coluna 4]
EQUALS ('=') [Linha 27, Coluna 14]
STRING ('"Santos"') [Linha 27, Coluna 16]
VAR ('idade') [Linha 30, Coluna 4]
ADD ('+') [Linha 30, Coluna 10]
EQUALS ('=') [Linha 30, Coluna 11]
INT ('5') [Linha 30, Coluna 13]
VAR ('altura') [Linha 31, Coluna 4]
SUB ('-') [Linha 31, Coluna 11]
EQUALS ('=') [Linha 31, Coluna 12]
INT ('5') [Linha 31, Coluna 14]
VAR ('contador') [Linha 32, Coluna 4]
MUL ('*') [Linha 32, Coluna 13]
EQUALS ('=') [Linha 32, Coluna 14]
INT ('2') [Linha 32, Coluna 16]
VAR ('peso') [Linha 33, Coluna 4]
DIV ('/') [Linha 33, Coluna 9]
EQUALS ('=') [Linha 33, Coluna 10]
INT ('2') [Linha 33, Coluna 12]
PRINT ('print') [Linha 40, Coluna 4]
DUPONT ('::') [Linha 40, Coluna 10]
STRING ('"=== DEMONSTRAÇÃO LENS ==="') [Linha 40, Coluna 13]
PRINT ('print') [Linha 41, Coluna 4]
DUPONT ('::') [Linha 41, Coluna 10]
VAR ('nome') [Linha 41, Coluna 13]
PRINT ('print') [Linha 42, Coluna 4]
DUPONT ('::') [Linha 42, Coluna 10]
VAR ('idade') [Linha 42, Coluna 13]
PRINT ('print') [Linha 45, Coluna 4]
DUPONT ('::') [Linha 45, Coluna 10]
STRING ('"Nome completo:"') [Linha 45, Coluna 13]
VIRG (',') [Linha 45, Coluna 29]
VAR ('nome') [Linha 45, Coluna 31]
VIRG (',') [Linha 45, Coluna 35]
VAR ('sobrenome') [Linha 45, Coluna 37]
PRINT ('print') [Linha 46, Coluna 4]
DUPONT ('::') [Linha 46, Coluna 10]
STRING ('"Idade atual:"') [Linha 46, Coluna 13]
VIRG (',') [Linha 46, Coluna 27]
VAR ('idade') [Linha 46, Coluna 29]
PRINT ('print') [Linha 47, Coluna 4]
DUPONT ('::') [Linha 47, Coluna 10]
STRING ('"Altura:"') [Linha 47, Coluna 13]
VIRG (',') [Linha 47, Coluna 22]
VAR ('altura') [Linha 47, Coluna 24]
PRINT ('print') [Linha 48, Coluna 4]
DUPONT ('::') [Linha 48, Coluna 10]
STRING ('"Peso:"') [Linha 48, Coluna 13]
VIRG (',') [Linha 48, Coluna 20]
VAR ('peso') [Linha 48, Coluna 22]
LET ('let') [Linha 54, Coluna 4]
VAR ('a') [Linha 54, Coluna 8]
POINT2 (':') [Linha 54, Coluna 9]
INT_TYPE ('int') [Linha 54, Coluna 11]
